exam_score,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
44.4,18,female,b.tech,0.67,95.2,no,6.1,good,self-study,high,moderate
45.8,24,male,diploma,0.49,60.3,yes,6.1,good,online videos,low,easy
33.7,24,other,bba,1.35,87.6,yes,8.7,poor,self-study,high,moderate
87.4,17,male,bba,7.18,73.5,yes,5.9,good,coaching,medium,easy
72.1,23,male,b.com,4.63,53.3,yes,4.4,good,online videos,high,moderate
59.5,20,male,b.tech,3.06,78.4,yes,5.0,poor,self-study,low,easy
60.1,22,other,bca,2.62,81.4,yes,4.2,good,mixed,high,hard
83.5,17,other,ba,5.01,71.8,yes,6.0,good,mixed,medium,moderate
39.6,24,other,ba,0.91,96.2,yes,6.7,poor,group study,medium,moderate
47.1,19,male,b.com,1.75,94.4,yes,5.9,average,group study,high,hard
32.9,20,female,b.tech,2.04,55.7,yes,9.2,poor,mixed,medium,hard
80.4,17,male,bba,5.56,67.9,yes,6.3,good,self-study,low,moderate
85.0,21,other,diploma,4.6,88.8,yes,9.9,average,coaching,medium,easy
62.5,17,other,diploma,1.7,97.6,yes,4.7,good,mixed,high,easy
70.4,22,female,b.com,2.19,96.7,yes,4.6,poor,coaching,high,moderate
32.2,24,female,b.sc,0.3,79.8,no,6.4,poor,online videos,high,hard
79.7,18,male,b.tech,7.28,57.7,yes,9.7,poor,online videos,medium,hard
25.2,19,other,diploma,1.85,42.2,yes,6.4,poor,self-study,high,hard
62.8,21,other,b.sc,5.07,71.7,yes,4.5,average,online videos,medium,hard
44.7,22,other,bca,2.09,49.3,yes,6.0,good,mixed,low,easy
91.7,21,female,b.sc,6.9,57.3,yes,5.6,good,self-study,medium,moderate
36.4,22,male,b.com,3.13,84.0,yes,6.5,poor,group study,high,moderate
69.3,24,female,b.sc,4.04,53.6,yes,9.7,good,self-study,high,hard
71.4,22,male,bca,5.36,50.6,yes,8.6,poor,self-study,high,moderate
78.7,24,other,b.com,5.68,70.4,no,8.1,poor,coaching,high,hard
34.9,21,other,bba,4.62,44.2,no,9.1,average,online videos,low,easy
89.8,21,female,bca,7.83,99.4,yes,4.7,average,coaching,medium,easy
37.2,18,other,bca,1.1,46.3,no,4.5,poor,mixed,low,moderate
60.2,22,male,b.com,2.08,52.8,yes,8.8,good,mixed,medium,moderate
82.2,17,other,diploma,6.28,77.6,yes,7.7,average,online videos,low,hard
93.2,20,female,bba,7.66,78.9,yes,7.6,average,online videos,medium,easy
27.1,20,other,bca,0.45,59.4,yes,9.8,poor,group study,low,moderate
58.2,19,female,diploma,5.59,48.7,yes,8.1,poor,coaching,medium,hard
61.1,17,female,diploma,7.85,62.4,yes,6.1,good,self-study,low,hard
85.5,17,female,bca,6.6,68.7,yes,8.1,average,group study,high,moderate
62.0,20,male,bba,3.31,57.4,yes,6.7,poor,online videos,medium,moderate
94.4,17,female,b.tech,7.59,91.0,yes,6.2,good,group study,high,moderate
48.0,18,male,bca,2.14,53.0,no,8.2,good,mixed,high,hard
57.7,24,female,bca,2.09,86.3,yes,7.4,poor,self-study,medium,easy
43.2,21,female,b.com,3.82,73.7,no,7.8,average,group study,high,moderate
68.1,24,other,b.tech,6.06,62.0,yes,6.9,poor,self-study,high,easy
48.0,18,male,b.com,2.05,46.2,yes,6.5,good,self-study,high,moderate
64.7,18,other,b.sc,2.24,94.2,yes,8.2,poor,online videos,high,hard
45.5,18,female,b.tech,1.41,70.7,yes,8.7,poor,coaching,medium,easy
50.7,24,female,ba,4.82,65.0,yes,9.6,poor,online videos,low,hard
85.1,21,male,b.sc,6.88,81.7,no,7.7,poor,self-study,medium,hard
87.3,23,female,bba,7.05,83.0,yes,8.9,poor,group study,medium,easy
43.4,20,female,diploma,0.08,99.3,yes,6.5,poor,mixed,low,moderate
40.4,21,female,b.com,2.55,82.2,yes,4.9,average,mixed,low,moderate
49.6,22,male,bca,1.52,51.5,yes,6.8,good,coaching,medium,easy
74.8,21,other,b.com,5.15,70.8,yes,6.4,average,online videos,high,easy
19.599,17,female,b.tech,0.14,76.9,yes,4.4,good,group study,low,easy
66.7,19,female,b.tech,6.36,43.8,yes,4.7,poor,mixed,medium,moderate
47.5,21,female,bba,5.31,70.9,yes,6.4,good,mixed,low,easy
60.7,18,other,b.com,4.71,90.7,yes,8.9,average,group study,high,hard
56.0,18,male,bca,0.55,78.7,yes,7.0,average,self-study,low,easy
90.6,17,female,bba,6.27,74.5,yes,7.1,average,mixed,high,moderate
97.5,22,male,bba,7.22,84.6,yes,4.9,good,online videos,high,moderate
38.9,24,male,b.com,0.19,44.5,no,6.7,poor,coaching,high,hard
69.1,19,female,b.com,5.57,62.2,yes,8.5,good,self-study,high,easy
67.6,24,female,b.tech,7.21,41.3,yes,7.6,poor,group study,low,moderate
89.8,17,male,bca,6.72,59.2,yes,7.6,good,group study,medium,easy
64.3,18,other,diploma,0.44,94.0,yes,9.6,good,group study,high,moderate
84.1,17,female,b.sc,6.05,46.4,yes,7.6,good,coaching,low,moderate
45.0,18,male,ba,2.03,86.9,yes,6.0,good,online videos,low,easy
85.9,21,female,b.com,3.46,99.4,no,8.4,average,coaching,medium,easy
54.4,24,male,b.com,3.34,54.7,yes,7.8,average,self-study,high,moderate
54.2,21,other,ba,4.16,43.0,yes,9.3,good,mixed,low,moderate
67.3,22,male,diploma,5.91,52.3,yes,8.1,poor,mixed,low,easy
78.7,23,male,bba,6.49,63.7,yes,9.3,good,online videos,medium,easy
65.8,21,male,b.com,4.69,64.7,yes,9.2,poor,group study,high,hard
91.5,21,other,diploma,7.86,64.5,yes,7.6,poor,coaching,high,easy
71.3,20,female,b.sc,5.39,92.3,yes,5.7,average,coaching,high,easy
96.3,18,male,ba,7.47,88.2,yes,8.0,average,online videos,low,moderate
77.4,20,female,b.com,5.15,62.1,yes,7.8,poor,group study,medium,hard
45.3,19,male,b.sc,4.17,40.6,yes,4.3,poor,group study,medium,easy
56.8,18,male,diploma,1.34,64.7,yes,6.4,average,coaching,low,moderate
63.0,19,female,b.sc,4.38,69.1,yes,8.9,average,online videos,high,hard
78.6,21,female,diploma,6.71,47.4,yes,9.6,average,mixed,medium,easy
74.1,24,female,bba,3.86,48.3,yes,6.2,average,online videos,high,moderate
66.8,21,other,b.sc,4.02,95.0,yes,5.7,good,self-study,medium,easy
69.9,22,male,bba,2.6,95.1,yes,8.7,good,coaching,medium,easy
92.7,18,male,bca,4.97,92.8,yes,7.6,poor,coaching,medium,moderate
22.3,18,female,diploma,0.12,52.8,yes,7.6,poor,group study,high,easy
79.7,24,male,bca,3.12,95.3,no,9.0,poor,coaching,high,easy
86.1,24,other,b.com,7.3,95.6,no,5.0,poor,self-study,high,moderate
80.1,22,female,b.com,6.69,51.5,yes,6.6,good,online videos,high,hard
55.7,22,male,b.tech,4.62,60.5,yes,9.3,poor,self-study,high,hard
84.6,23,male,b.tech,7.52,75.8,yes,4.5,poor,coaching,high,moderate
61.5,22,male,bca,1.75,46.9,yes,8.3,average,coaching,medium,moderate
74.4,20,male,diploma,4.72,97.5,yes,4.6,good,self-study,low,moderate
60.8,22,other,b.sc,2.58,61.9,yes,6.9,poor,self-study,high,easy
43.9,22,male,diploma,2.27,41.4,yes,4.1,average,online videos,high,moderate
58.6,17,male,bca,5.07,49.9,yes,7.0,poor,online videos,low,moderate
62.3,19,female,bca,2.73,88.3,yes,4.7,good,mixed,low,hard
100.0,18,female,bca,7.87,96.3,yes,9.8,average,self-study,medium,moderate
59.2,17,male,diploma,7.7,43.7,yes,9.3,good,group study,low,hard
87.3,24,other,bca,7.91,63.8,no,8.2,average,group study,low,easy
61.5,18,male,ba,1.87,85.4,yes,9.1,average,mixed,low,moderate
70.0,21,male,diploma,4.91,58.1,yes,5.2,good,group study,medium,easy
31.1,21,male,diploma,0.08,43.1,yes,6.4,average,group study,low,easy
22.9,17,male,b.tech,1.76,58.2,yes,7.9,poor,group study,low,hard
49.0,18,male,b.com,3.26,80.1,yes,4.1,average,mixed,medium,moderate
70.4,22,female,bca,5.16,61.8,yes,5.1,average,coaching,low,easy
31.4,17,other,diploma,1.66,49.2,yes,7.6,average,online videos,high,moderate
70.4,18,female,ba,2.52,84.3,yes,8.0,poor,coaching,medium,moderate
97.3,17,female,b.sc,4.78,95.8,yes,9.0,average,coaching,medium,moderate
64.9,19,other,bba,2.88,54.7,yes,5.3,average,coaching,low,moderate
50.8,17,other,ba,1.1,60.2,yes,6.7,average,group study,high,easy
59.2,22,female,b.com,5.34,52.7,yes,4.5,poor,mixed,medium,moderate
64.5,22,other,bba,2.78,47.1,yes,8.1,average,group study,medium,easy
51.1,24,male,b.sc,0.25,86.8,yes,7.1,good,coaching,high,hard
82.2,23,male,diploma,6.84,76.2,yes,8.7,average,group study,low,moderate
74.7,21,male,b.com,5.75,94.9,yes,9.4,poor,mixed,low,moderate
76.3,19,other,b.com,7.38,78.7,yes,6.3,average,mixed,low,hard
83.9,17,male,ba,6.28,98.8,yes,9.8,average,mixed,low,easy
67.6,22,male,b.sc,4.16,63.5,yes,8.7,poor,group study,low,moderate
60.2,21,female,bca,5.41,63.2,yes,4.5,good,coaching,low,moderate
95.9,24,male,bca,7.44,65.3,yes,4.9,good,online videos,medium,easy
89.4,17,male,diploma,2.09,95.3,yes,6.4,good,coaching,high,moderate
91.0,23,other,ba,7.42,66.6,yes,4.2,average,group study,high,moderate
88.4,20,female,b.com,5.54,91.6,yes,5.0,average,group study,high,easy
65.3,23,female,b.tech,7.91,84.2,no,5.1,poor,self-study,high,easy
43.9,24,other,diploma,1.2,48.5,yes,7.2,good,coaching,medium,moderate
87.7,23,female,b.tech,6.85,86.0,yes,4.2,good,online videos,high,moderate
77.9,18,male,ba,4.87,57.0,yes,8.0,good,mixed,low,moderate
75.7,17,other,b.tech,5.99,99.4,yes,9.5,poor,self-study,high,moderate
80.9,18,male,b.tech,1.8,72.8,yes,9.3,good,online videos,high,moderate
43.8,17,female,diploma,1.96,50.0,yes,8.4,poor,mixed,high,moderate
32.5,20,male,diploma,3.03,43.3,yes,5.4,poor,self-study,high,moderate
19.599,17,other,bca,1.57,42.8,yes,7.5,poor,mixed,medium,moderate
58.9,19,female,b.com,0.09,61.3,yes,6.5,poor,group study,high,moderate
64.9,21,female,b.com,7.19,46.7,no,4.3,good,mixed,low,moderate
62.4,19,other,diploma,3.83,58.4,yes,8.9,average,group study,high,moderate
48.9,24,other,bba,0.3,87.4,yes,8.2,good,self-study,low,moderate
37.8,18,male,bca,1.97,55.3,no,4.9,good,mixed,low,moderate
78.3,24,female,b.com,1.49,87.2,yes,9.1,good,mixed,medium,easy
38.7,18,female,bba,0.14,59.4,yes,5.4,average,online videos,medium,moderate
99.4,19,female,b.sc,7.41,91.2,no,8.9,average,group study,medium,easy
83.6,21,male,bba,3.84,97.5,yes,4.7,good,online videos,medium,easy
68.5,24,female,diploma,5.9,69.4,yes,7.1,poor,mixed,medium,easy
50.7,17,female,bca,4.92,63.4,no,7.9,poor,mixed,low,moderate
78.4,19,female,b.sc,5.54,58.4,yes,9.9,good,group study,high,moderate
62.3,17,other,bca,6.13,46.6,yes,6.9,poor,mixed,medium,moderate
83.9,20,female,b.sc,6.73,45.1,yes,8.3,average,self-study,medium,hard
60.6,20,male,bca,5.17,61.8,yes,7.4,poor,group study,high,hard
58.0,17,female,bba,4.42,42.6,no,7.3,average,mixed,high,hard
38.0,22,male,diploma,0.08,85.0,no,9.7,good,online videos,high,moderate
68.0,24,female,bba,3.45,83.2,yes,5.9,good,online videos,medium,moderate
92.4,17,other,b.sc,7.15,99.4,yes,4.1,average,group study,medium,moderate
57.0,22,female,bca,3.43,67.0,yes,7.6,average,mixed,low,hard
57.2,18,other,ba,5.79,44.6,yes,5.9,poor,coaching,low,moderate
53.3,19,male,diploma,3.69,56.6,yes,4.9,good,group study,high,moderate
47.3,23,male,b.tech,2.44,46.3,no,8.6,poor,mixed,high,moderate
75.8,19,female,b.tech,7.9,50.0,yes,5.7,good,group study,medium,moderate
31.5,22,female,ba,0.51,64.8,no,9.1,good,mixed,medium,hard
52.8,21,male,b.com,2.22,98.7,yes,5.2,average,online videos,low,moderate
48.9,19,other,diploma,1.02,51.1,yes,9.0,poor,coaching,medium,moderate
44.7,18,male,b.sc,1.86,73.0,yes,9.5,poor,coaching,medium,moderate
75.0,19,female,b.tech,5.31,75.0,yes,6.0,average,mixed,medium,easy
52.3,19,male,b.sc,0.36,87.4,yes,5.7,average,mixed,high,moderate
92.6,20,other,b.com,7.28,76.5,yes,9.5,poor,coaching,low,hard
96.1,19,female,b.tech,7.11,94.5,no,5.9,poor,mixed,medium,easy
99.5,18,male,b.sc,5.37,95.5,yes,8.8,good,online videos,high,moderate
61.8,17,male,b.com,0.4,48.3,yes,6.8,average,mixed,high,moderate
70.1,23,male,bba,6.91,68.4,yes,6.2,good,online videos,medium,hard
47.6,24,female,ba,5.7,43.9,no,4.3,poor,group study,low,easy
84.9,22,other,b.tech,4.77,78.9,yes,9.9,good,self-study,medium,moderate
67.1,17,other,b.com,1.66,75.1,no,7.8,good,online videos,low,easy
77.8,22,male,b.com,5.94,86.3,yes,5.9,good,mixed,medium,hard
91.3,19,male,bca,7.91,90.3,yes,7.9,poor,coaching,low,easy
47.0,22,female,diploma,3.27,48.4,yes,7.0,good,group study,medium,hard
40.2,23,female,bca,0.08,93.9,yes,7.5,poor,coaching,medium,moderate
71.4,21,male,bca,0.72,93.9,yes,8.9,average,coaching,high,moderate
71.8,22,other,bba,6.91,65.5,yes,7.2,average,group study,high,hard
64.0,22,other,b.sc,3.63,81.8,yes,5.3,good,self-study,low,moderate
78.7,22,other,bba,6.23,95.9,yes,5.6,average,online videos,low,moderate
68.5,18,other,bca,4.52,42.9,yes,5.6,good,mixed,medium,moderate
83.1,23,male,diploma,1.77,84.9,yes,5.4,poor,mixed,high,hard
80.2,18,female,b.com,3.44,70.7,yes,9.2,average,self-study,medium,easy
77.9,18,male,b.com,4.89,71.3,yes,9.9,good,mixed,low,easy
60.2,24,male,ba,4.82,62.5,no,7.7,poor,group study,high,hard
42.3,24,male,diploma,2.14,43.9,yes,5.4,good,online videos,medium,easy
28.6,17,other,b.tech,0.72,51.5,yes,4.1,average,online videos,high,moderate
57.8,17,other,bca,3.42,68.5,yes,9.8,poor,group study,high,moderate
78.4,18,other,bba,6.57,75.8,no,4.1,good,mixed,medium,moderate
83.2,17,other,b.tech,6.08,91.9,yes,5.7,average,self-study,high,moderate
68.4,20,female,bca,7.53,41.8,yes,9.3,poor,self-study,low,hard
52.3,23,female,b.sc,4.68,95.2,yes,8.2,poor,mixed,medium,easy
61.7,17,female,diploma,0.36,84.3,yes,6.9,average,coaching,high,moderate
47.9,22,male,bca,2.95,70.3,no,9.6,poor,group study,low,hard
41.6,18,other,b.sc,1.18,60.6,yes,6.2,poor,self-study,medium,moderate
75.4,24,female,bca,2.92,76.4,yes,7.6,average,mixed,high,easy
61.6,19,other,b.tech,6.32,51.7,yes,9.1,poor,mixed,low,moderate
35.2,23,other,ba,1.64,80.9,yes,4.3,average,online videos,low,easy
37.0,23,male,b.sc,1.98,43.0,no,7.0,good,online videos,low,moderate
55.8,24,male,ba,5.34,50.7,yes,9.7,poor,self-study,high,moderate
68.5,22,female,ba,2.97,51.2,yes,8.4,good,self-study,high,moderate
69.4,18,other,bba,7.09,57.8,yes,9.9,average,online videos,low,moderate
70.2,22,other,ba,5.88,52.2,yes,5.2,good,coaching,medium,moderate
87.7,17,female,bca,6.92,93.6,yes,9.9,average,online videos,low,moderate
60.4,23,male,b.sc,2.03,89.9,yes,7.8,poor,coaching,medium,moderate
73.2,22,other,diploma,5.16,92.0,no,8.9,average,group study,medium,easy
67.5,18,male,b.tech,4.45,87.3,yes,8.8,average,mixed,low,easy
62.9,17,other,bca,3.08,68.5,yes,8.1,good,mixed,medium,hard
62.2,17,male,diploma,3.88,71.5,yes,9.9,poor,self-study,medium,easy
56.8,19,female,diploma,1.66,54.1,yes,4.8,good,mixed,high,easy
67.9,21,female,b.com,3.91,53.5,yes,9.1,good,online videos,high,hard
50.3,24,male,ba,1.4,86.4,no,4.6,good,coaching,high,hard
46.1,23,male,diploma,0.43,61.4,yes,8.3,average,coaching,high,easy
64.6,21,male,b.tech,6.09,76.2,yes,4.1,good,mixed,low,easy
69.6,19,male,bba,6.62,51.4,no,9.3,average,online videos,medium,easy
80.0,24,male,diploma,6.57,77.7,no,4.7,good,group study,medium,moderate
35.0,18,female,b.tech,0.73,79.0,yes,4.9,poor,coaching,low,moderate
52.9,18,other,bba,7.26,60.1,no,6.6,poor,online videos,low,hard
83.7,21,female,diploma,6.2,91.2,yes,6.9,poor,online videos,medium,moderate
40.0,21,male,bba,3.21,67.6,yes,7.2,poor,group study,medium,easy
87.4,23,female,bca,6.98,68.5,yes,4.9,average,mixed,medium,moderate
76.7,17,male,bca,7.11,54.6,yes,7.2,average,coaching,low,moderate
54.1,24,other,b.sc,2.79,84.5,yes,9.6,average,self-study,low,easy
87.1,24,other,bba,6.83,60.5,no,7.3,poor,coaching,high,easy
66.0,20,other,bba,5.48,63.3,yes,7.1,average,coaching,medium,hard
67.8,22,other,b.sc,3.18,84.3,yes,6.6,good,online videos,medium,hard
69.5,21,other,b.tech,6.24,85.2,yes,5.6,poor,online videos,high,hard
76.0,21,female,diploma,2.42,84.7,yes,6.5,poor,coaching,high,easy
40.5,19,male,diploma,1.72,80.5,yes,7.8,poor,group study,medium,moderate
59.2,23,male,bca,3.65,50.8,yes,5.3,poor,coaching,medium,hard
26.3,20,male,ba,2.11,44.1,yes,9.4,poor,mixed,low,easy
65.2,17,other,bca,4.89,55.2,no,6.1,average,coaching,medium,easy
69.4,23,male,ba,6.94,55.3,yes,7.9,poor,coaching,high,easy
65.4,19,male,b.tech,7.14,60.2,no,5.0,poor,group study,medium,easy
81.5,20,male,diploma,5.1,72.5,no,4.6,good,mixed,medium,hard
66.5,18,female,bba,3.8,97.2,yes,9.2,average,group study,medium,moderate
50.1,21,female,bca,3.95,84.4,yes,8.9,good,online videos,medium,moderate
65.4,20,other,diploma,4.12,70.2,yes,5.3,good,self-study,medium,moderate
81.2,17,male,b.com,7.91,76.4,no,4.7,good,self-study,medium,easy
74.3,21,male,bca,7.89,71.0,yes,4.1,good,self-study,medium,moderate
56.1,24,other,diploma,3.78,45.9,yes,8.8,average,self-study,high,hard
56.4,20,other,bca,0.21,49.2,no,8.2,average,coaching,high,moderate
52.7,24,female,ba,4.74,56.8,yes,6.6,poor,online videos,medium,moderate
42.6,23,male,ba,2.35,76.0,no,9.0,poor,mixed,low,moderate
30.4,18,female,b.com,1.34,69.7,yes,9.1,poor,group study,low,easy
79.7,17,female,bba,4.6,84.5,yes,7.7,average,mixed,medium,moderate
80.9,24,other,b.com,7.71,61.3,yes,8.0,average,coaching,medium,easy
51.8,17,male,b.tech,3.02,45.6,yes,5.2,good,online videos,low,easy
64.3,18,female,b.com,0.55,77.8,yes,4.1,good,online videos,medium,easy
58.7,17,male,diploma,0.71,92.9,yes,4.5,average,mixed,high,easy
70.9,23,female,b.tech,6.09,49.4,yes,9.1,average,mixed,medium,easy
37.4,24,female,ba,2.48,49.8,yes,8.9,poor,coaching,high,easy
61.7,20,other,ba,2.01,95.9,yes,7.7,average,coaching,medium,moderate
69.9,18,male,diploma,5.64,89.8,yes,6.4,poor,online videos,high,hard
70.9,22,other,b.sc,7.45,44.8,yes,6.5,poor,group study,high,moderate
54.8,18,male,diploma,1.9,71.4,yes,9.9,good,mixed,medium,moderate
100.0,18,female,bba,6.3,89.9,yes,9.4,good,online videos,medium,easy
76.0,23,male,b.tech,3.17,97.8,yes,5.0,average,online videos,high,hard
54.2,21,male,diploma,4.04,46.0,yes,7.1,average,self-study,medium,moderate
88.7,21,male,ba,7.89,67.8,yes,7.1,good,mixed,medium,hard
37.5,18,male,b.com,2.29,74.5,no,5.4,good,group study,low,moderate
63.2,24,male,b.sc,4.32,96.1,no,4.2,poor,mixed,low,moderate
47.2,19,male,b.sc,0.19,96.9,yes,5.6,good,group study,high,moderate
62.7,21,female,b.sc,4.76,73.8,yes,8.8,average,online videos,medium,hard
95.7,24,female,diploma,7.38,77.6,yes,6.6,poor,coaching,medium,easy
39.5,19,male,b.sc,2.73,55.6,yes,4.6,average,self-study,medium,moderate
55.4,17,female,bca,0.19,53.5,yes,9.7,good,coaching,high,moderate
29.2,23,other,diploma,1.61,44.9,yes,4.9,poor,mixed,high,easy
72.0,21,other,bca,2.56,85.8,yes,9.5,average,group study,high,easy
55.5,17,female,b.sc,1.73,61.7,yes,8.7,average,online videos,medium,easy
57.4,24,female,b.sc,2.28,76.7,yes,7.7,average,coaching,low,moderate
28.5,17,male,b.sc,0.4,46.4,yes,5.9,average,mixed,medium,moderate
60.1,18,male,ba,0.08,83.6,yes,6.2,average,coaching,medium,easy
25.1,22,female,b.tech,0.19,65.1,yes,4.3,poor,online videos,high,moderate
40.6,24,female,ba,2.9,59.0,yes,9.1,poor,online videos,high,easy
51.1,19,male,ba,5.9,65.1,yes,9.7,poor,self-study,low,hard
40.3,19,male,ba,0.14,53.8,yes,5.6,poor,self-study,high,moderate
53.9,21,other,b.tech,2.75,91.5,yes,8.4,poor,mixed,high,easy
100.0,17,male,b.sc,6.77,92.3,yes,5.5,good,group study,high,moderate
36.3,22,male,b.tech,0.66,96.2,yes,6.2,good,online videos,low,moderate
100.0,18,other,diploma,7.22,99.2,yes,5.2,good,group study,high,moderate
21.8,19,other,b.sc,0.37,47.6,yes,4.4,good,mixed,low,moderate
30.8,17,other,b.com,2.29,59.3,yes,5.6,average,group study,low,moderate
66.2,23,female,bca,1.75,93.6,no,5.1,average,coaching,medium,easy
37.3,18,female,b.sc,1.7,92.1,yes,6.2,poor,online videos,low,moderate
31.4,23,other,b.com,0.57,74.9,yes,7.2,average,online videos,medium,easy
69.3,22,male,bca,2.29,49.8,yes,6.0,good,coaching,low,moderate
38.2,24,other,bba,2.83,66.5,yes,4.2,poor,online videos,high,hard
94.3,20,other,b.com,7.57,95.4,yes,4.7,average,online videos,high,moderate
84.3,22,other,bca,4.77,94.9,yes,5.6,poor,mixed,high,easy
53.7,20,other,ba,3.05,66.2,no,5.5,poor,online videos,low,easy
80.8,18,male,bca,4.98,99.4,yes,4.3,average,mixed,low,moderate
78.9,19,male,diploma,7.91,44.9,yes,9.4,average,group study,low,hard
82.7,24,male,ba,5.26,90.2,yes,6.7,average,self-study,high,easy
45.5,17,other,b.tech,1.54,52.5,yes,7.2,average,mixed,medium,moderate
82.6,23,other,b.sc,4.7,63.3,yes,7.7,poor,online videos,high,moderate
60.3,24,female,bba,4.63,93.0,no,4.1,poor,group study,high,hard
65.3,20,male,b.com,2.35,74.0,yes,6.7,average,self-study,high,moderate
65.2,19,male,b.com,2.69,43.8,no,9.7,average,coaching,low,easy
71.1,18,male,b.com,7.39,66.1,yes,8.9,average,self-study,high,easy
74.7,18,other,bba,2.51,87.1,yes,8.6,good,self-study,high,easy
66.3,20,male,b.sc,6.76,54.4,yes,7.6,poor,self-study,medium,hard
70.8,24,other,b.com,5.75,57.8,yes,9.7,poor,self-study,medium,easy
56.8,20,female,diploma,0.34,65.4,yes,7.4,average,online videos,high,easy
79.2,23,female,bba,6.72,78.7,yes,8.8,average,mixed,high,moderate
80.4,17,male,b.sc,7.74,78.9,yes,6.9,poor,mixed,high,hard
100.0,20,male,ba,6.18,57.3,yes,8.8,poor,self-study,high,moderate
51.0,17,male,diploma,2.1,55.0,yes,5.5,good,mixed,medium,hard
56.5,24,other,b.tech,0.14,69.8,yes,5.9,good,group study,high,moderate
74.1,21,other,ba,7.05,54.1,yes,8.8,good,online videos,low,easy
70.0,17,other,bba,7.91,61.2,yes,7.8,poor,online videos,high,hard
94.2,18,other,b.com,7.2,94.7,no,7.2,good,mixed,medium,hard
19.599,17,male,b.com,0.19,69.7,yes,4.2,poor,online videos,low,moderate
75.7,23,other,b.tech,6.01,96.6,yes,6.4,poor,mixed,high,hard
86.3,17,male,b.com,7.33,66.0,yes,9.0,average,coaching,low,moderate
71.9,18,female,b.com,0.34,84.0,yes,9.9,average,group study,high,moderate
78.1,17,other,b.com,2.76,72.8,yes,6.6,good,coaching,medium,hard
41.1,18,other,b.com,1.47,58.1,yes,7.7,average,self-study,medium,hard
81.1,17,male,b.sc,7.48,46.1,no,7.8,good,group study,medium,moderate
43.3,21,male,b.tech,0.58,54.2,yes,8.9,good,coaching,low,moderate
45.3,23,other,bba,6.12,51.7,yes,7.1,poor,coaching,medium,moderate
62.9,18,male,b.tech,3.03,73.2,yes,8.1,average,online videos,low,easy
44.0,20,female,b.tech,0.08,45.9,yes,8.0,average,coaching,medium,moderate
75.8,24,female,ba,7.4,90.5,yes,7.9,poor,self-study,medium,hard
34.4,23,other,diploma,0.08,56.4,yes,7.2,poor,group study,medium,moderate
56.1,18,other,b.sc,1.92,81.5,yes,9.2,poor,group study,low,moderate
39.9,23,other,bba,2.67,43.5,yes,4.8,good,group study,low,moderate
37.7,18,other,b.sc,0.36,75.5,yes,4.1,good,coaching,low,easy
61.2,23,female,diploma,4.27,86.7,no,8.9,poor,self-study,high,hard
92.4,23,female,bba,7.62,96.2,yes,7.0,average,self-study,low,moderate
64.4,17,other,bca,3.75,65.1,yes,5.1,average,online videos,high,hard
67.7,20,male,b.tech,3.6,69.4,yes,6.5,average,online videos,high,moderate
59.7,24,male,b.sc,3.96,51.2,yes,5.6,average,self-study,medium,moderate
80.1,17,other,b.tech,2.95,92.5,yes,8.8,poor,online videos,medium,moderate
35.2,21,male,ba,1.45,43.8,no,6.5,average,group study,low,moderate
60.6,21,male,b.com,2.84,56.6,yes,6.2,average,mixed,high,easy
51.1,19,male,b.sc,5.88,66.2,yes,4.7,poor,online videos,low,hard
56.0,19,other,b.tech,3.85,47.1,yes,7.7,average,online videos,high,moderate
100.0,23,female,b.com,6.71,98.6,yes,8.9,good,coaching,high,moderate
78.0,23,female,b.com,7.38,70.9,yes,8.9,good,online videos,high,hard
100.0,22,female,b.com,7.91,52.8,yes,9.7,good,group study,high,moderate
72.5,24,female,ba,2.52,81.9,no,5.7,poor,coaching,high,easy
85.9,17,female,b.tech,3.32,85.0,no,8.7,average,group study,medium,moderate
75.8,22,male,ba,3.61,44.3,yes,7.9,good,coaching,high,moderate
78.8,24,male,b.sc,6.07,87.8,yes,8.1,poor,group study,medium,easy
54.5,19,female,bca,0.86,94.2,no,8.2,poor,mixed,high,hard
79.7,20,other,b.com,7.58,98.4,no,6.0,poor,self-study,medium,easy
55.2,18,male,ba,5.54,47.2,no,7.2,poor,group study,medium,easy
90.1,19,other,b.sc,7.91,89.4,no,7.6,average,self-study,high,easy
65.8,20,male,b.tech,1.51,96.8,yes,9.5,average,coaching,low,hard
27.8,23,female,ba,1.32,52.9,yes,4.5,average,coaching,medium,moderate
65.6,22,other,b.sc,4.53,59.4,no,9.6,poor,self-study,low,moderate
53.4,22,female,bba,1.98,42.0,yes,6.6,good,mixed,medium,easy
93.8,17,female,bca,5.11,84.2,yes,4.7,good,self-study,high,moderate
55.2,19,female,b.com,3.36,89.7,yes,5.5,poor,mixed,high,moderate
75.7,18,female,b.tech,5.36,49.1,yes,4.5,average,mixed,high,hard
63.0,20,male,diploma,6.28,85.0,yes,8.6,poor,online videos,low,easy
67.9,19,male,b.tech,5.7,72.3,yes,9.2,poor,self-study,medium,moderate
84.8,20,other,diploma,3.73,94.7,yes,5.7,average,coaching,high,hard
57.1,20,other,b.tech,0.3,99.0,yes,7.3,good,online videos,high,hard
74.0,22,other,diploma,4.96,42.2,no,8.9,average,coaching,medium,moderate
52.0,22,female,bca,1.51,46.8,yes,6.5,average,coaching,low,hard
63.3,20,other,bca,7.19,43.9,yes,8.4,poor,group study,low,moderate
